,0,1,2
845,citizen,11-13,2530
846,citizen,11-12,2061
847,citizen,02-08,2
848,citizen,02-09,11
849,citizen,05-10,124
850,citizen,05-11,246
851,citizen,05-12,717
852,citizen,05-13,2237
853,citizen,05-14,4669
854,citizen,07-08,2
855,citizen,07-07,1
856,citizen,04-08,3
857,citizen,04-09,45
858,citizen,06-11,305
859,citizen,06-10,130
860,citizen,06-13,3569
861,citizen,06-12,1004
862,citizen,06-14,5848
863,citizen,07-09,90
864,citizen,11-07,2
865,citizen,03-09,35
866,citizen,03-08,1
867,citizen,11-08,24
868,citizen,11-09,77
869,citizen,07-14,9079
870,citizen,08-14,15079
871,citizen,08-13,2725
872,citizen,08-12,987
873,citizen,08-11,325
874,citizen,07-11,341
875,citizen,06-08,1
876,citizen,06-09,83
877,citizen,03-12,743
878,citizen,03-13,2420
879,citizen,03-10,138
880,citizen,03-11,279
881,citizen,03-14,3931
882,citizen,10-09,113
883,citizen,10-08,15
884,citizen,08-08,4
885,citizen,08-09,118
886,citizen,08-07,1
887,citizen,01-09,12
888,citizen,01-08,2
889,citizen,10-12,1720
890,citizen,10-13,3962
891,citizen,10-10,154
892,citizen,10-11,486
893,citizen,10-14,11175
894,citizen,01-14,3605
895,citizen,01-15,4470
896,citizen,01-10,112
897,citizen,01-11,253
898,citizen,01-12,611
899,citizen,01-13,2504
900,citizen,12-09,89
901,citizen,12-08,4
902,citizen,12-14,15803
903,citizen,12-10,109
904,citizen,12-11,550
905,citizen,12-12,1962
906,citizen,12-13,2496
907,employee,09-13,2605
908,employee,09-07,1
909,employee,09-09,89
910,employee,09-08,12
911,employee,02-15,482
912,employee,02-14,3223
913,employee,02-11,276
914,employee,02-10,96
915,employee,02-13,1358
916,employee,02-12,519
917,employee,05-07,1
918,employee,05-09,61
919,employee,05-08,7
920,employee,04-13,1336
921,employee,04-12,554
922,employee,04-11,287
923,employee,04-10,88
924,employee,04-14,4122
925,employee,09-14,6120
926,employee,08-13,2207
927,employee,09-10,129
928,employee,09-11,332
929,employee,09-12,969
930,employee,07-13,1999
931,employee,07-10,97
932,employee,07-11,341
933,employee,11-14,7946
934,employee,11-11,441
935,employee,11-10,160
936,employee,11-13,3155
937,employee,11-12,1745
938,employee,02-08,1
939,employee,02-09,29
940,employee,05-10,89
941,employee,05-11,204
942,employee,05-12,609
943,employee,05-13,1764
944,employee,05-14,4280
945,employee,07-08,10
946,employee,07-07,1
947,employee,04-08,4
948,employee,04-09,62
949,employee,04-07,1
950,employee,06-11,296
951,employee,06-10,108
952,employee,06-13,2060
953,employee,06-12,659
954,employee,06-14,5617
955,employee,07-09,83
956,employee,03-09,69
957,employee,11-08,15
958,employee,11-09,76
959,employee,07-14,6317
960,employee,08-14,5289
961,employee,07-12,702
962,employee,08-12,922
