,0,1,2,3
296,teen,07-28-14,-36.4773,389
297,teen,10-21-14,-47.322,889
298,teen,10-21-10,-5.1236,21
299,teen,10-21-11,-0.329,30
300,teen,10-21-12,-5.706,96
301,teen,10-21-13,-4.2736,242
302,teen,08-28-10,0.5924,6
303,teen,07-0-14,-235.5053,763
304,teen,08-28-12,4.2564,57
305,teen,08-28-13,-3.8349,180
306,teen,08-28-14,-11.2443,365
307,teen,07-0-10,1.6617,7
308,teen,07-0-13,-21.5665,236
309,teen,07-0-12,3.4471,75
310,teen,11-21-14,-867.1991,3055
311,teen,11-21-13,-15.1555,314
312,teen,11-21-12,3.5812,96
313,teen,11-21-11,-0.3792,27
314,teen,11-21-10,5.6011,13
315,teen,04-21-08,0.0,1
316,teen,01-0-15,5.592,523
317,teen,01-0-14,0.791,283
318,teen,01-0-13,3.8008,129
319,teen,01-0-12,1.1248,45
320,teen,01-0-11,-2.5984,12
321,teen,01-0-10,-1.3772,9
322,teen,07-21-10,3.1375,14
323,teen,07-21-11,2.2878,46
324,teen,07-21-12,18.6444,113
325,teen,07-21-13,-31.4991,327
326,teen,07-21-14,-95.2043,788
327,teen,04-14-09,2.7562,7
328,teen,09-14-08,0.4215,1
329,teen,09-14-09,1.6277,12
330,teen,12-0-14,-222.3327,1396
331,teen,12-0-13,0.595,254
332,teen,12-0-12,8.2168,90
333,teen,12-0-11,6.4412,50
334,teen,12-0-10,0.7555,16
335,teen,03-14-10,3.8329,16
336,teen,06-7-09,-1.0847,17
337,teen,01-7-09,-0.9678,3
338,teen,08-28-11,-1.0073,15
339,teen,01-21-14,23.4613,421
340,teen,01-21-15,-0.2008,412
341,teen,01-21-12,1.2665,54
342,teen,01-21-13,-4.01,134
343,teen,01-21-10,1.1851,8
344,teen,01-21-11,1.5258,27
345,teen,07-0-11,1.131,27
346,teen,05-14-09,3.8275,12
347,teen,03-14-09,1.5569,6
348,teen,12-7-09,-0.594,11
349,teen,02-0-15,9.7593,160
350,teen,02-0-12,3.8737,60
351,teen,02-0-13,-5.4323,120
352,teen,02-0-10,-1.2289,7
353,teen,02-0-11,-4.0018,32
354,teen,12-21-14,-119.5377,997
355,teen,12-21-12,-6.004,111
356,teen,12-21-13,-18.3854,240
357,teen,12-21-10,-0.8743,14
358,teen,12-21-11,-1.0178,28
359,teen,02-14-10,-1.1142,9
360,teen,02-14-11,2.6748,23
361,teen,02-14-12,5.0199,67
362,teen,02-14-13,0.4596,150
363,teen,02-14-14,-132.3807,644
364,teen,03-0-11,3.1165,20
365,teen,03-0-10,1.041,7
366,teen,03-0-13,9.5328,131
367,teen,03-0-12,1.3119,44
368,teen,03-0-14,2.4279,349
369,teen,10-14-08,1.9217,3
370,teen,10-14-09,2.915,19
371,teen,11-0-14,2.3162,735
372,teen,11-0-12,-4.707,94
373,teen,11-0-13,-7.4414,208
374,teen,11-0-10,-2.7124,11
375,teen,11-0-11,0.9119,30
376,teen,03-28-14,-8.6214,185
377,teen,03-28-11,-0.6289,16
378,teen,03-28-10,0.2005,8
379,teen,03-28-13,-1.0105,97
380,teen,03-28-12,-10.4345,48
381,teen,11-14-10,1.6943,15
382,teen,11-14-11,3.3849,32
383,teen,11-14-12,12.0752,109
384,teen,11-14-13,-4.7444,318
385,teen,11-14-14,-23.3665,1002
386,teen,10-0-11,-1.8613,18
387,teen,10-0-10,-1.813,15
388,teen,10-0-13,8.0216,194
389,teen,10-0-12,1.4786,84
390,teen,10-0-14,-45.0663,645
391,teen,09-28-13,1.362,79
392,teen,09-28-12,7.451,47
393,teen,09-28-11,2.7517,23
394,teen,09-28-10,-1.2512,9
395,teen,09-28-14,-25.0524,299
396,officer,10-28-14,-117.3437,923
397,officer,10-28-11,-4.099,35
398,officer,10-28-10,-1.8704,10
