,0,1,2,
200,10,0.155307876574,artist,Occupation 2 
201,10,0.0618360863187,rapper,Occupation 2 
202,10,0.0320253771876,singer,Occupation 2 
203,10,0.0283370350107,producer,Occupation 2 
204,10,0.0244969427871,musician,Occupation 2 
205,10,0.0147098749177,actor,Occupation 2 
206,10,0.01405685888,punk,Occupation 2 
207,10,0.0136158579219,geniu,Occupation 2 
208,10,0.00932350406093,diva,Occupation 2 
209,10,0.00895785062239,slave,Occupation 2 
210,10,0.00878729363085,dj,Occupation 2 
211,10,0.00862714229754,hero,Occupation 2 
212,10,0.00830984404878,lover,Occupation 2 
213,10,0.00825232345241,youth,Occupation 2 
214,10,0.00800827120081,dancer,Occupation 2 
215,10,0.00787552204558,performer,Occupation 2 
216,10,0.0076313750738,comedian,Occupation 2 
217,10,0.00714326503,critic,Occupation 2 
218,10,0.00684676482835,poet,Occupation 2 
219,10,0.00612343248776,model,Occupation 2 
220,11,0.163838790896,gal,
221,11,0.144162918537,nigerian,
222,11,0.112700296965,niggaz,
223,11,0.0592436267848,catholic,
224,11,0.0382973539856,priest,
225,11,0.0173619507531,governor,
226,11,0.0157598777785,bishop,
227,11,0.0154645054122,clergy,
228,11,0.0128101011613,igbo,
229,11,0.012371582618,naija,
230,11,0.0116084498494,thief,
231,11,0.0112843301267,virgin,
232,11,0.0110884190145,pastor,
233,11,0.00963964925469,protestant,
234,11,0.00927236471658,madam,
235,11,0.00800142616898,soldier,
236,11,0.0075947431947,african,
237,11,0.00754652772981,jesuit,
238,11,0.00741480348725,pope,
239,11,0.00737189589626,chic,
240,12,0.520792004917,fighter,Sports Two
241,12,0.116026097202,warrior,Sports Two
242,12,0.0714066656382,rider,Sports Two
243,12,0.035773674938,champion,Sports Two
244,12,0.0305370677169,opponent,Sports Two
245,12,0.0260786295769,champ,Sports Two
246,12,0.0233223659824,winner,Sports Two
247,12,0.0140187603728,athlete,Sports Two
248,12,0.0109386003746,hero,Sports Two
249,12,0.00970526495745,medalist,Sports Two
250,12,0.00775028237951,contender,Sports Two
251,12,0.0074866036659,son,Sports Two
252,12,0.00709261638668,women,Sports Two
253,12,0.00557651293367,cyborg,Sports Two
254,12,0.00549269935442,soldier,Sports Two
255,12,0.00541403328908,commentator,Sports Two
256,12,0.00434943335908,superstar,Sports Two
257,12,0.003163155594,amateur,Sports Two
258,12,0.00304809126371,climber,Sports Two
259,12,0.00269520505029,commander,Sports Two
260,13,0.156336789005,officer,Ferguson/NYC
261,13,0.0904803607108,victim,Ferguson/NYC
262,13,0.0499262762389,police_officer,Ferguson/NYC
263,13,0.0264637815318,mayor,Ferguson/NYC
264,13,0.0255964891287,driver,Ferguson/NYC
265,13,0.0244880885417,firefighter,Ferguson/NYC
266,13,0.0226690381122,sheriff,Ferguson/NYC
267,13,0.0214256663191,official,Ferguson/NYC
268,13,0.0202180552122,reporter,Ferguson/NYC
269,13,0.0190512977469,teen,Ferguson/NYC
270,13,0.0173715612356,deputy,Ferguson/NYC
271,13,0.0173029018583,shooter,Ferguson/NYC
272,13,0.0164590523044,chief,Ferguson/NYC
273,13,0.0155727160624,attorney,Ferguson/NYC
274,13,0.0152383135035,gunman,Ferguson/NYC
275,13,0.0145085666748,neighbor,Ferguson/NYC
276,13,0.0142426943643,investigator,Ferguson/NYC
277,13,0.0137421675656,police_chief,Ferguson/NYC
278,13,0.013454294575,passenger,Ferguson/NYC
279,13,0.0123175576194,worker,Ferguson/NYC
280,14,0.148165393447,husband,Kinship
281,14,0.0653024899665,son,Kinship
282,14,0.0383380217184,hubby,Kinship
283,14,0.0225415605645,adult,Kinship
284,14,0.0218737313013,neighbor,Kinship
285,14,0.0189663902117,mommy,Kinship
286,14,0.0188201975121,toddler,Kinship
287,14,0.0148300874401,daddy,Kinship
288,14,0.0130622237453,mama,Kinship
289,14,0.00994887990203,aunt,Kinship
290,14,0.00984808821178,grandmother,Kinship
291,14,0.00949564165018,nurse,Kinship
292,14,0.00933722419421,teen,Kinship
293,14,0.00862193624328,cousin,Kinship
294,14,0.00794974699624,niece,Kinship
295,14,0.00751943215039,doctor,Kinship
296,14,0.00712843510303,grandma,Kinship
297,14,0.00710648634743,spouse,Kinship
298,14,0.00701349620262,teenager,Kinship
299,14,0.00677296634848,partner,Kinship
300,15,0.236571142204,muslim,Religious Conflict Two
301,15,0.0507991662713,terrorist,Religious Conflict Two
302,15,0.0353802132875,atheist,Religious Conflict Two
303,15,0.0348618490932,christian,Religious Conflict Two
304,15,0.0136991491851,leader,Religious Conflict Two
305,15,0.0114377912414,rebel,Religious Conflict Two
306,15,0.010332585372,army,Religious Conflict Two
307,15,0.0103318657518,hindu,Religious Conflict Two
308,15,0.0102620557146,islamist,Religious Conflict Two
309,15,0.00946216034068,soldier,Religious Conflict Two
310,15,0.00940271983237,american,Religious Conflict Two
311,15,0.00901146985783,criminal,Religious Conflict Two
312,15,0.0089070876294,victim,Religious Conflict Two
313,15,0.00886798991917,indian,Religious Conflict Two
314,15,0.00882445222843,jew,Religious Conflict Two
315,15,0.00834814863432,citizen,Religious Conflict Two
316,15,0.00751880598147,politician,Religious Conflict Two
317,15,0.00741077207158,scientist,Religious Conflict Two
318,15,0.00740825408084,slave,Religious Conflict Two
319,15,0.00707094800384,jihadist,Religious Conflict Two
320,16,0.101998683435,asshole,
321,16,0.0547038590632,girlfriend,
322,16,0.037117043317,whore,
323,16,0.0295377903947,slut,
324,16,0.0230975346632,loser,
325,16,0.0144338551608,bastard,
